Ano,UF,Feminicidio
2024,Acre,8
2024,Alagoas,22
2024,Amapá,2
2024,Amazonas,29
2024,Bahia,111
2024,Ceará,41
2024,Distrito Federal,23
2024,Espírito Santo,39
2024,Goiás,56
2024,Maranhão,69
2024,Mato Grosso,47
2024,Mato Grosso do Sul,35
2024,Minas Gerais,163
2024,Pará,50
2024,Paraíba,26
2024,Paraná,109
2024,Pernambuco,77
2024,Piauí,40
2024,Rio de Janeiro,107
2024,Rio Grande do Norte,19
2024,Rio Grande do Sul,72
2024,Rondônia,13
2024,Roraima,7
2024,Santa Catarina,51
2024,São Paulo,253
2024,Sergipe,10
2024,Tocantins,13
2023,Acre,10
2023,Alagoas,18
2023,Amapá,4
2023,Amazonas,23
2023,Bahia,108
2023,Ceará,42
2023,Distrito Federal,33
2023,Espírito Santo,35
2023,Goiás,56
2023,Maranhão,50
2023,Mato Grosso,46
2023,Mato Grosso do Sul,30
2023,Minas Gerais,183
2023,Pará,57
2023,Paraíba,34
2023,Paraná,81
2023,Pernambuco,81
2023,Piauí,28
2023,Rio de Janeiro,99
2023,Rio Grande do Norte,24
2023,Rio Grande do Sul,87
2023,Rondônia,21
2023,Roraima,6
2023,Santa Catarina,56
2023,São Paulo,221
2023,Sergipe,16
2023,Tocantins,18
2022,Acre,9
2022,Alagoas,31
2022,Amapá,9
2022,Amazonas,21
2022,Bahia,107
2022,Ceará,29
2022,Distrito Federal,22
2022,Espírito Santo,35
2022,Goiás,55
2022,Maranhão,69
2022,Mato Grosso,47
2022,Mato Grosso do Sul,44
2022,Minas Gerais,175
2022,Pará,54
2022,Paraíba,26
2022,Paraná,77
2022,Pernambuco,72
2022,Piauí,24
2022,Rio de Janeiro,111
2022,Rio Grande do Norte,16
2022,Rio Grande do Sul,111
2022,Rondônia,23
2022,Roraima,3
2022,Santa Catarina,57
2022,São Paulo,195
2022,Sergipe,19
2022,Tocantins,14
2021,Acre,13
2021,Alagoas,25
2021,Amapá,4
2021,Amazonas,23
2021,Bahia,88
2021,Ceará,31
2021,Distrito Federal,25
2021,Espírito Santo,38
2021,Goiás,54
2021,Maranhão,58
2021,Mato Grosso,43
2021,Mato Grosso do Sul,37
2021,Minas Gerais,154
2021,Pará,64
2021,Paraíba,32
2021,Paraná,75
2021,Pernambuco,86
2021,Piauí,37
2021,Rio de Janeiro,85
2021,Rio Grande do Norte,20
2021,Rio Grande do Sul,96
2021,Rondônia,16
2021,Roraima,5
2021,Santa Catarina,55
2021,São Paulo,136
2021,Sergipe,20
2021,Tocantins,21
2020,Acre,12
2020,Alagoas,35
2020,Amapá,9
2020,Amazonas,15
2020,Bahia,113
2020,Ceará,27
2020,Distrito Federal,17
2020,Espírito Santo,26
2020,Goiás,44
2020,Maranhão,65
2020,Mato Grosso,62
2020,Mato Grosso do Sul,41
2020,Minas Gerais,151
2020,Pará,67
2020,Paraíba,36
2020,Paraná,73
2020,Pernambuco,75
2020,Piauí,31
2020,Rio de Janeiro,78
2020,Rio Grande do Norte,13
2020,Rio Grande do Sul,80
2020,Rondônia,14
2020,Roraima,9
2020,Santa Catarina,57
2020,São Paulo,179
2020,Sergipe,14
2020,Tocantins,10
2019,Acre,11
2019,Alagoas,44
2019,Amapá,7
2019,Amazonas,12
2019,Bahia,101
2019,Ceará,34
2019,Distrito Federal,33
2019,Espírito Santo,35
2019,Goiás,40
2019,Maranhão,52
2019,Mato Grosso,39
2019,Mato Grosso do Sul,34
2019,Minas Gerais,142
2019,Pará,45
2019,Paraíba,38
2019,Paraná,89
2019,Pernambuco,57
2019,Piauí,29
2019,Rio de Janeiro,85
2019,Rio Grande do Norte,21
2019,Rio Grande do Sul,97
2019,Rondônia,7
2019,Roraima,6
2019,Santa Catarina,58
2019,São Paulo,184
2019,Sergipe,21
2019,Tocantins,5
2018,Acre,14
2018,Alagoas,21
2018,Amapá,3
2018,Amazonas,4
2018,Bahia,76
2018,Ceará,30
2018,Distrito Federal,28
2018,Espírito Santo,34
2018,Goiás,36
2018,Maranhão,45
2018,Mato Grosso,42
2018,Mato Grosso do Sul,42
2018,Minas Gerais,157
2018,Pará,66
2018,Paraíba,34
2018,Paraná,69
2018,Pernambuco,74
2018,Piauí,26
2018,Rio de Janeiro,71
2018,Rio Grande do Norte,28
2018,Rio Grande do Sul,116
2018,Rondônia,9
2018,Roraima,4
2018,Santa Catarina,42
2018,São Paulo,136
2018,Sergipe,16
2018,Tocantins,6
2017,Acre,13
2017,Alagoas,31
2017,Amapá,2
2017,Amazonas,16
2017,Bahia,74
2017,Ceará,NA
2017,Distrito Federal,19
2017,Espírito Santo,42
2017,Goiás,31
2017,Maranhão,50
2017,Mato Grosso,76
2017,Mato Grosso do Sul,27
2017,Minas Gerais,145
2017,Pará,37
2017,Paraíba,22
2017,Paraná,21
2017,Pernambuco,76
2017,Piauí,26
2017,Rio de Janeiro,68
2017,Rio Grande do Norte,23
2017,Rio Grande do Sul,83
2017,Rondônia,54
2017,Roraima,3
2017,Santa Catarina,48
2017,São Paulo,108
2017,Sergipe,6
2017,Tocantins,32
2016,Acre,14
2016,Alagoas,36
2016,Amapá,NA
2016,Amazonas,10
2016,Bahia,18
2016,Ceará,NA
2016,Distrito Federal,20
2016,Espírito Santo,35
2016,Goiás,17
2016,Maranhão,NA
2016,Mato Grosso,49
2016,Mato Grosso do Sul,34
2016,Minas Gerais,134
2016,Pará,44
2016,Paraíba,24
2016,Paraná,20
2016,Pernambuco,112
2016,Piauí,31
2016,Rio de Janeiro,16
2016,Rio Grande do Norte,27
2016,Rio Grande do Sul,96
2016,Rondônia,37
2016,Roraima,3
2016,Santa Catarina,54
2016,São Paulo,60
2016,Sergipe,NA
2016,Tocantins,38
